,comp_name,job_link,job_location,job_posted,job_title
0,University of California San Francisco,http://www.indeed.com/rc/clk?jk=87c4803048c10f64&fccid=2a341562d64c7cdb,"San Francisco, CA",Just posted,Research Data Analyst
1,Amazon Corporate LLC,http://www.indeed.com/rc/clk?jk=880e2d8d8ff52b65&fccid=fe2d21eef233e94a,"Seattle, WA",Just posted,Data Scientist
2,Apple,http://www.indeed.com/rc/clk?jk=e55ecded4cf9517e&fccid=c1099851e9794854,"Santa Clara Valley, CA",Just posted,"iOS Analytics Engineer, Apple News"
3,"Illumina, Inc.",http://www.indeed.com/rc/clk?jk=dca3703387da5604&fccid=8524239b088a6649,"San Diego, CA",Just posted,Scientist 1
4,Apple,http://www.indeed.com/rc/clk?jk=34544cc51d5e5d53&fccid=c1099851e9794854,"Santa Clara Valley, CA",Just posted,"Data Scientist, Internet Services Team"
5,Comlinkdata,http://www.indeed.com/rc/clk?jk=d5e82fecb410632b&fccid=de56470bf18a9e11,"Boston, MA 02110 (Central area)",Just posted,Data Analyst
6,Bloomberg,http://www.indeed.com/rc/clk?jk=ffb72db347e8b3b8&fccid=f770da67b3b51c62,"New York, NY",Just posted,Enterprise Solutions Quant Data Product Specialist
7,Amazon Corporate LLC,http://www.indeed.com/rc/clk?jk=913dcc68b630ec29&fccid=fe2d21eef233e94a,"New York, NY",Just posted,Applied Scientist
8,Genscape,http://www.indeed.com/rc/clk?jk=67e339e5d8ad304e&fccid=641684ae5ed23ec4,"Boston, MA",Just posted,Machine Learning Engineer
9,Aspen Technology,http://www.indeed.com/rc/clk?jk=8e2243717c6590b3&fccid=b3fc015a7c99e39b,"Bedford, MA 01730",Just posted,Data Scientist
10,Northeastern University,http://www.indeed.com/rc/clk?jk=a8b1ee772746cddf&fccid=a9383e8362da1c50,"Boston, MA",Just posted,Data Visualization Research Specialist
11,EXL,http://www.indeed.com/rc/clk?jk=0f17647c7b77e471&fccid=e3e300fc88f0e813,United States,Just posted,ETL Developer
12,"Kite Pharma, Inc.",http://www.indeed.com/rc/clk?jk=60dcc0daae82316f&fccid=79be1acede5a1870,"El Segundo, CA",Just posted,"Scientist, Quality Control, Analytical"
13,United Technologies Research Center,http://www.indeed.com/rc/clk?jk=34ced5271ab97b99&fccid=d2b6bfba86ea80d6,"East Hartford, CT",Just posted,Senior Data Scientist
14,KFMB Stations,http://www.indeed.com/company/KFMB-Stations/jobs/Research-Analyst-4fcc72a05e3b67a9?fccid=6b3c7df88036e609,"San Diego, CA",Just posted,Research Analyst
15,"Business Insider, Inc.",http://www.indeed.com/rc/clk?jk=436addd59fafdfe4&fccid=f34c8d83f77dbba4,"New York, NY",Just posted,Research Analyst
16,RGBSI,http://www.indeed.com/rc/clk?jk=9b7796161d16d9d4&fccid=ecfea27496c25ff0,"Dearborn, MI",Just posted,Data Scientists Analysts
17,University of Washington,http://www.indeed.com/rc/clk?jk=f5377b5356e908e8&fccid=142783ac2edbe56b,"Seattle, WA",Just posted,MEDICAL LABORATORY SCIENTIST 2
18,The Camstoll Group LLC,http://www.indeed.com/company/The-Camstoll-Group-LLC/jobs/Research-Analyst-Internship-a8955183c011837d?fccid=263d1aafc6f29f9b,"Los Angeles, CA",Just posted,Research Analyst Internship
19,The Camstoll Group LLC,http://www.indeed.com/company/The-Camstoll-Group-LLC/jobs/Russian-Speaking-Research-Analyst-53b30bc9403051f7?fccid=263d1aafc6f29f9b,"Los Angeles, CA",Just posted,Russian Speaking Research Analyst
20,The Camstoll Group LLC,http://www.indeed.com/company/The-Camstoll-Group-LLC/jobs/Farsi-Speaking-Research-Analyst-acb7c79ed9277c62?fccid=263d1aafc6f29f9b,"Los Angeles, CA",Just posted,Farsi Speaking Research Analyst
21,The Camstoll Group LLC,http://www.indeed.com/company/The-Camstoll-Group-LLC/jobs/Arabic-Speaking-Research-Analyst-1ce846f137177c37?fccid=263d1aafc6f29f9b,"Los Angeles, CA",Just posted,Arabic Speaking Research Analyst
22,Roush Enterprises,http://www.indeed.com/rc/clk?jk=c0d8b34e093cff57&fccid=e731ace9b462982f,"Troy, MI",Just posted,Big Data Engineer
23,RGBSI,http://www.indeed.com/rc/clk?jk=9b7796161d16d9d4&fccid=ecfea27496c25ff0,"Dearborn, MI",Just posted,Data Scientists Analysts
24,KFMB,http://www.indeed.com/rc/clk?jk=49521f91b90b5db4&fccid=30e4fd8d5e982079,"San Diego, CA",Just posted,KFMB STATIONS - Research Analyst
25,Catapult Consultants,http://www.indeed.com/rc/clk?jk=be78b92f1a8858e1&fccid=95fde6dd6305912d,"Bingham Farms, MI",Just posted,Statistician
26,"Cisco Systems, Inc.",http://www.indeed.com/rc/clk?jk=9999a94c1f5dd1b6&fccid=dfc44f3b8c44a6db,"San Jose, CA",Just posted,Sr. Dir / CTO Advanced Analytics and Machine Learning
27,University of Washington,http://www.indeed.com/rc/clk?jk=238e50ba04a077aa&fccid=142783ac2edbe56b,"Seattle, WA",Just posted,RESEARCH SCIENTIST/ENGINEER 2
28,The University of Pittsburgh,http://www.indeed.com/rc/clk?jk=38d89ad6354611c8&fccid=1f92178814b05d89,"Pittsburgh, PA",Just posted,Senior Statistician
