theme,url,lines,author
MOTIVATION,/inspirational-quotes/6240-motivation-is-when-your-dreams-put-on-work,Motivation is when your dreams put on work clothes.,Benjamin Franklin
DEDICATION,/inspirational-quotes/4218-there-is-no-chance-no-destiny-no-fate-that,"There is no chance, no destiny, no fate, that can hinder or control the firm resolve of a determined soul.",Ella Wheeler Wilcox
DEDICATION,/inspirational-quotes/4076-there-are-no-shortcuts-to-any-place-worth-going,There are no shortcuts to any place worth going.,Beverly Sills
DEDICATION,/inspirational-quotes/6440-the-person-who-makes-a-success-of-living-is-the,The person who makes a success of living is the one who sees his goal steadily and aims for it unswervingly. That is dedication. ,Cecil B. DeMille
DEDICATION,/inspirational-quotes/5886-he-who-would-learn-to-fly-one-day-must-first,He who would learn to fly one day must first learn to stand and walk and run and climb and dance; one cannot fly into flying.,Friedrich Nietzsche
DEDICATION,/inspirational-quotes/3763-dreams-and-dedication-are-a-powerful-combination,Dreams and dedication are a powerful combination.,William Longgood
CONFIDENCE,/inspirational-quotes/5513-trust-yourself-create-the-kind-of-self-that,Trust yourself. Create the kind of self that you will be happy to live with all your life.,Golda  Meir
CONFIDENCE,/inspirational-quotes/7587-each-time-we-face-our-fear-we-gain-strength,"Each time we face our fear, we gain strength, courage and confidence in the doing.",Theodore Roosevelt
CONFIDENCE,/inspirational-quotes/3506-be-who-you-are-and-say-what-you-feel-because,"Be who you are and say what you feel, because in the end those who matter don't mind and those who mind don't matter.",Theodor Seuss Geisel
CONFIDENCE,/inspirational-quotes/6508-confidence-comes-not-from-always-being-right,"Confidence comes not from always being right, but from not fearing to be wrong.",Peter McIntyre
CONFIDENCE,/inspirational-quotes/6990-every-small-positive-change-we-make-in,Every small positive change we make in ourselves repays us in confidence in the future.,Alice Walker
COMMITMENT,/inspirational-quotes/4400-you-may-have-to-fight-a-battle-more-than-once,You may have to fight a battle more than once to win it.,Margaret Thatcher
COMMITMENT,/inspirational-quotes/3124-great-changes-may-not-happen-right-away-but,"Great changes may not happen right away, but with effort even the difficult may become easy.",Bill Blackman
COMMITMENT,/inspirational-quotes/3971-stay-committed-to-your-decisions-but-stay,"Stay committed to your decisions, but stay flexible in your approach.",Tom Robbins
COMMITMENT,/inspirational-quotes/4245-commitment-unlocks-the-doors-of-imagination,"Commitment unlocks the doors of imagination, allows vision, and gives us the right stuff to turn our dream into reality.",James Womack
